File,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72
constant_40,23144,23036,23240,23069,23217,23250,23152,23295,23126,23127,23148,23123,23151,23301,23047,23251,23173,23102,23099,23051,23020,23093,23149,23071,23243
constant_41,23233,23067,23048,23075,23159,23094,23127,22948,23078,23159,22988,23047,23072,23090,23039,23098,22967,23043,22994,23024,23031,23056,23084,23063,22966
constant_42,23171,23225,23187,23093,23230,23109,23201,23069,23134,23128,23225,23153,23259,23197,23293,23282,23276,23075,23229,23229,23174,23207,23249,23133,23062
constant_43,23377,23371,23387,23178,23348,23319,23382,23245,23195,23271,23267,23296,23302,23383,23232,23235,23217,23229,23397,23242,23200,23297,23180,23347,23335
constant_44,23346,23313,23273,23268,23332,23336,23243,23455,23284,23499,23430,23353,23263,23400,23259,23340,23351,23301,23331,23511,23316,23387,23259,23413,23246
constant_45,23097,23093,23130,23012,23007,23231,23036,23148,22991,23122,23119,23008,23127,22981,23028,23068,23080,23120,23087,23082,23115,23104,23082,22971,23000
constant_46,22851,22795,22924,22949,23021,23019,22953,22878,22807,22871,22907,23022,22858,23053,22976,22858,22895,22809,23024,22897,22876,23015,22923,22952,22933
constant_47,22972,23012,22929,22918,22832,22995,22844,22886,22913,22828,22780,22877,22982,22942,22786,22925,22908,22998,22831,22830,23028,22873,22886,22841,22899
constant_48,23210,23203,23011,23227,23182,23105,23219,23204,23055,23134,23199,23239,23228,23188,23043,23213,23094,23204,23243,23221,23158,23282,23288,23135,23170
constant_49,23162,23144,23185,23027,23112,22991,23100,23105,23164,23154,23316,23254,23163,23174,23210,23119,23082,23101,23060,23075,23068,23187,23156,23139,23203
constant_50,22900,22979,22868,22931,23051,23005,23082,23026,22956,22986,23074,22964,23071,22959,23078,22970,23066,22923,23043,23067,22970,22993,23121,22760,23006
constant_51,23109,23271,23317,23317,23096,23267,23318,23322,23303,23274,23329,23237,23283,23309,23209,23276,23253,23385,23195,23224,23225,23243,23270,23209,23269
constant_52,23285,23193,23047,23072,23069,22989,23012,23096,22968,23104,23014,22968,23090,23067,23064,23089,23096,23138,23045,23037,22887,23052,23239,23125,22943
constant_53,22911,23086,23007,22928,23019,22936,22970,22938,22848,22938,23004,22900,22943,22855,22932,22934,22993,22948,23068,22849,22914,22902,22919,22901,22898
constant_54,23491,23440,23298,23495,23396,23334,23516,23390,23266,23374,23395,23428,23318,23321,23267,23353,23331,23471,23374,23543,23370,23477,23442,23238,23297
constant_55,23044,22742,23105,23058,23006,22922,22758,23036,23033,22960,22863,23047,23043,22961,23006,22926,23008,22998,22845,22812,22980,22942,23003,22911,23083
constant_56,23043,23180,23045,23010,23219,23104,23056,23029,23065,23064,23110,23174,23037,23021,23214,23081,23073,23067,22954,23126,23214,23100,23225,23230,23099
constant_57,23060,22844,22857,22953,22935,22969,22888,22917,22909,22935,22990,22951,22898,22734,22949,22963,22929,22951,22913,22863,22878,23117,22941,22925,22860
constant_58,23266,23298,23360,23217,23367,23422,23240,23278,23325,23213,23312,23133,23270,23247,23106,23358,23267,23344,23268,23276,23371,23306,23273,23318,23221
constant_59,23028,23138,23049,23093,22909,23133,23095,23160,23103,23213,23119,23068,23058,23064,23149,23160,23139,23108,23100,23096,23048,23119,23031,23156,23055
constant_60,22962,22876,22890,22823,23062,23048,22955,22971,22947,22915,22986,23136,22938,22967,22919,22955,22988,22867,23076,22984,22967,22913,22974,22968,23216
constant_61,22976,23036,23009,23016,23251,22956,23166,23049,23040,22919,23057,23113,23054,23062,23096,23084,23010,23079,23036,22984,22980,23063,22969,23054,23220
constant_62,22971,23103,22903,22846,23005,23017,22954,23015,22896,23018,23089,22957,22883,22893,22869,22880,22926,23036,22849,22740,22943,23070,22925,22948,22892
constant_63,23271,23102,23091,23123,23067,23153,23191,22982,23258,23131,23084,23028,23282,23103,23135,23229,23148,23087,23039,23108,23136,23128,23187,23158,23215
constant_64,23357,23151,23073,23288,23307,23205,23200,23315,23200,23301,23153,23216,23256,23238,23300,23145,23210,23304,23256,23297,22952,23200,23232,23283,23192
constant_65,23148,23080,23141,23070,23080,22971,23174,23138,23071,23156,23073,23011,23113,23108,22973,23118,23003,23197,23067,23152,23211,23086,23150,23159,23114
constant_66,23208,23133,23014,22925,23160,23044,23002,23057,23014,22914,23159,23099,23058,22942,23169,23013,22951,23048,23125,22952,23040,22985,23044,23017,23102
constant_67,22945,22994,23123,23052,22995,22925,22895,22789,22974,22966,22904,23042,22935,22917,23007,23063,22870,22887,22941,22948,22942,22891,22857,22920,22899
