File,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72
constant_40,23414,23293,23500,23349,23485,23506,23431,23572,23398,23402,23423,23391,23415,23568,23320,23521,23441,23372,23365,23310,23285,23358,23416,23349,23517
constant_41,23521,23359,23336,23371,23441,23383,23419,23243,23363,23456,23278,23343,23356,23373,23323,23388,23258,23326,23284,23317,23316,23347,23373,23349,23245
constant_42,23460,23507,23473,23372,23532,23390,23490,23358,23422,23416,23511,23445,23551,23472,23592,23559,23581,23363,23514,23523,23464,23500,23554,23412,23344
constant_43,23655,23655,23683,23459,23646,23622,23687,23547,23492,23577,23564,23589,23589,23676,23526,23528,23505,23522,23687,23532,23487,23593,23472,23641,23636
constant_44,23635,23591,23538,23533,23620,23626,23526,23738,23565,23785,23727,23644,23545,23687,23544,23627,23622,23580,23624,23796,23610,23663,23560,23699,23533
constant_45,23377,23365,23411,23285,23295,23506,23296,23441,23257,23394,23386,23280,23408,23262,23323,23348,23343,23381,23357,23362,23395,23372,23366,23243,23262
constant_46,23138,23068,23210,23233,23305,23306,23235,23155,23083,23156,23196,23294,23145,23330,23258,23140,23182,23076,23311,23179,23157,23290,23215,23231,23207
constant_47,23263,23313,23227,23217,23117,23300,23139,23171,23208,23124,23059,23161,23267,23241,23066,23220,23201,23295,23126,23116,23329,23184,23175,23144,23217
constant_48,23467,23464,23282,23482,23452,23368,23473,23471,23314,23393,23477,23512,23503,23451,23301,23476,23359,23473,23500,23484,23409,23548,23546,23416,23434
constant_49,23442,23424,23440,23287,23387,23261,23374,23384,23420,23431,23586,23536,23434,23453,23482,23404,23354,23376,23328,23351,23324,23450,23434,23409,23485
constant_50,23145,23249,23141,23190,23313,23277,23342,23288,23228,23248,23341,23239,23339,23216,23338,23239,23334,23201,23320,23337,23222,23251,23378,23015,23282
constant_51,23363,23516,23580,23572,23355,23514,23558,23576,23554,23530,23588,23490,23542,23571,23453,23528,23510,23631,23444,23473,23479,23499,23522,23457,23530
constant_52,23589,23515,23344,23378,23391,23305,23324,23413,23266,23420,23322,23272,23392,23385,23356,23407,23395,23453,23357,23344,23191,23349,23553,23440,23245
constant_53,23183,23345,23270,23190,23283,23194,23216,23198,23110,23205,23271,23166,23207,23116,23198,23185,23257,23210,23318,23100,23174,23164,23172,23161,23163
constant_54,23785,23739,23593,23777,23691,23635,23808,23673,23563,23670,23692,23731,23631,23621,23575,23648,23640,23761,23666,23840,23666,23781,23748,23541,23610
constant_55,23302,23018,23394,23330,23259,23196,23034,23321,23295,23227,23134,23313,23320,23235,23275,23208,23289,23274,23114,23073,23250,23221,23283,23180,23357
constant_56,23326,23479,23332,23289,23503,23394,23353,23319,23354,23360,23393,23448,23308,23295,23494,23365,23353,23358,23237,23417,23490,23387,23518,23523,23397
constant_57,23338,23122,23135,23241,23221,23250,23175,23198,23200,23213,23277,23239,23189,23012,23228,23237,23206,23235,23202,23135,23161,23409,23206,23211,23132
constant_58,23567,23588,23663,23523,23678,23740,23544,23579,23634,23526,23609,23436,23581,23558,23412,23665,23584,23645,23564,23591,23678,23620,23592,23626,23531
constant_59,23304,23417,23324,23364,23181,23417,23382,23442,23381,23490,23396,23347,23344,23329,23428,23438,23415,23384,23367,23373,23320,23385,23311,23439,23322
constant_60,23226,23165,23169,23105,23351,23323,23246,23256,23217,23190,23267,23417,23236,23244,23204,23237,23261,23135,23365,23265,23261,23196,23254,23240,23500
constant_61,23241,23319,23290,23308,23549,23227,23449,23328,23315,23183,23346,23384,23336,23328,23384,23363,23286,23353,23317,23267,23267,23334,23260,23338,23513
constant_62,23258,23394,23210,23122,23299,23303,23241,23309,23172,23306,23381,23246,23159,23179,23150,23174,23209,23325,23147,23025,23229,23374,23217,23211,23179
constant_63,23566,23397,23382,23417,23350,23462,23488,23270,23545,23423,23389,23326,23579,23402,23441,23528,23435,23380,23319,23410,23428,23430,23490,23455,23512
